shelling is:
1 2 3 4 
1 2 3 14 
1 2 4 16 
1 2 9 14 
1 2 9 16 
1 3 4 14 
1 4 12 14 
1 4 12 16 
1 5 9 14 
1 5 8 9 
1 5 8 10 
1 5 10 15 
1 5 11 15 
1 5 11 13 
1 5 13 14 
1 7 8 9 
1 7 9 16 
1 7 12 16 
1 7 8 12 
1 8 12 14 
1 8 13 14 
1 8 10 13 
1 10 11 13 
1 10 11 15 
2 3 4 16 
2 5 9 14 
2 5 8 9 
2 5 8 10 
2 5 6 10 
2 5 13 14 
2 5 11 13 
2 5 6 11 
2 8 9 16 
2 8 10 16 
2 3 10 16 
2 3 10 14 
2 6 10 14 
2 6 13 14 
3 6 10 14 
3 5 6 10 
3 5 6 11 
3 5 10 16 
3 5 11 16 
3 4 11 16 
3 4 11 14 
3 6 13 14 
4 8 12 14 
4 7 8 12 
4 7 8 9 
4 8 13 14 
4 8 10 13 
5 10 15 16 
5 11 15 16 
8 10 15 16 
4 8 10 15 
4 8 9 15 
4 9 10 15 
4 9 10 13 
4 7 9 13 
4 7 13 14 
3 7 13 14 
3 7 9 13 
3 7 11 14 
3 6 7 11 
4 7 11 14 
4 6 7 11 
4 6 7 12 
3 6 7 12 
3 6 12 13 
2 6 12 13 
2 11 12 13 
3 9 12 13 
4 6 11 16 
4 6 12 16 
6 11 15 16 
2 6 11 15 
2 6 12 15 
2 11 12 15 
6 12 15 16 
7 12 15 16 
3 7 12 15 
8 9 15 16 
7 9 15 16 
3 7 9 15 
3 9 12 15 
9 10 11 13 
9 10 12 15 
9 11 12 13 
9 10 11 12 
10 11 12 15 
shellable

